(8869, 3)
(8870, 4)
(8871, 2)
(8872, 6)
(8873, 2)
(8874, 35)
(8875, 6)
(8876, 10)
(8877, 4)
(8878, 4)
(8879, 2)
(8880, 140)
(8881, 2)
(8882, 2)
(8883, 20)
(8884, 3)
(8885, 2)
(8886, 4)
(8888, 20)
(8889, 2)
(8890, 14)
(8891, 2)
(8892, 91)
(8894, 2)
(8895, 4)
(8896, 29)
(8897, 4)
(8898, 4)
(8899, 2)
(8900, 25)
(8901, 10)
(8902, 2)
(8903, 2)
(8904, 73)
(8905, 4)
(8906, 4)
(8907, 2)
(8908, 10)
(8909, 2)
(8910, 140)
(8911, 4)
(8912, 11)
(8913, 2)
(8914, 2)
(8915, 2)
(8916, 10)
(8917, 2)
(8918, 20)
(8919, 3)
(8920, 20)
(8921, 2)
(8922, 4)
(8924, 10)
(8925, 35)
(8926, 2)
(8927, 2)
(8928, 170)
(8930, 14)
(8931, 4)
(8932, 35)
(8934, 4)
(8935, 2)
(8936, 6)
(8937, 6)
(8938, 4)
(8939, 2)
(8940, 35)
(8942, 4)
(8943, 4)
(8944, 37)
(8945, 2)
(8946, 35)
(8947, 2)
(8948, 3)
(8949, 4)
(8950, 10)
(8952, 20)
(8953, 2)
(8954, 10)
(8955, 10)
(8956, 3)
(8957, 3)
(8958, 4)
(8959, 3)
(8960, 253)
(8961, 4)
(8962, 2)
(8964, 51)
(8965, 4)
(8966, 2)
(8967, 10)
(8968, 20)
(8970, 51)
(8972, 3)
(8973, 3)
(8974, 4)
(8975, 3)
(8976, 140)
(8977, 2)
(8978, 3)
(8979, 4)
(8980, 10)
(8981, 2)
(8982, 10)
(8983, 2)
(8984, 6)
(8985, 4)
(8986, 2)
(8987, 4)
(8988, 35)
(8989, 2)
(8990, 14)
(8991, 18)
(8992, 18)
(8993, 3)
(8994, 4)
(8995, 4)
(8996, 10)
(8997, 2)
(8998, 4)
(9000, 299)
(9002, 4)
(9003, 2)
(9004, 3)
(9005, 2)
(9006, 14)
(9008, 11)
(9009, 35)
(9010, 14)
(9012, 10)
(9014, 2)
(9015, 4)
(9016, 51)
(9017, 2)
(9018, 20)
(9019, 2)
(9020, 35)
(9021, 4)
(9022, 4)
(9023, 2)
(9024, 104)
(9025, 8)
(9026, 2)
(9027, 10)
(9028, 10)
(9030, 51)
(9031, 2)
(9032, 6)
(9033, 2)
(9034, 2)
(9035, 4)
(9036, 25)
(9037, 2)
(9038, 2)
(9039, 4)
(9040, 37)
(9042, 14)
(9044, 35)
(9045, 20)
(9046, 2)
(9047, 2)
(9048, 73)
(9050, 10)
(9051, 4)
(9052, 10)
(9053, 2)
(9054, 10)
(9055, 2)
(9056, 18)
(9057, 2)
(9058, 4)
(9060, 35)
(9061, 4)
(9062, 4)
(9063, 10)
(9064, 20)
(9065, 10)
(9066, 4)
(9068, 3)
(9069, 2)
(9070, 4)
(9071, 2)
(9072, 423)
(9073, 2)
(9074, 4)
(9075, 25)
(9076, 3)
(9077, 2)
(9078, 14)
(9079, 2)
(9080, 20)
(9081, 3)
(9082, 4)
(9083, 2)
(9084, 10)
(9085, 4)
(9086, 14)
(9087, 4)
(9088, 44)
(9089, 2)
(9090, 35)
(9092, 3)
(9093, 4)
(9094, 2)
(9095, 4)
(9096, 20)
(9097, 2)
(9098, 2)
(9099, 6)
(9100, 91)
(9101, 2)
(9102, 14)
(9104, 11)
(9105, 4)
(9106, 4)
(9107, 2)
(9108, 91)
(9110, 4)
(9111, 2)
(9112, 20)
(9113, 2)
(9114, 35)
(9115, 2)
(9116, 10)
(9117, 3)
(9118, 4)
(9119, 2)
(9120, 249)
(9121, 2)
(9122, 2)
(9123, 2)
(9124, 3)
(9125, 6)
(9126, 51)
(9128, 20)
(9129, 4)
(9130, 14)
(9131, 2)
(9132, 10)
(9134, 2)
(9135, 35)
(9136, 11)
(9138, 4)
